Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.2018,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18
AMECAN_SH_4,6,,,,,,,7,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,,
BETPAP_GR_8,6,,,,,,,,,7,7,9,9,9,9,15,17,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100
BETPOP_HF_3A,6,,,,,,,,,7,9,9,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,"100,100-m"
BETPOP_HF_3B,6,,,,,,,,,7,7,9,9,9,15,19,"65-F,19",69,,,,,,71,71,72,72,75,75,77,77,79,79,79,79,"79,100-m,100","79,100-m,100","81,100-m,100","81,100-m,100","81,100-m,100","82,100-m,100","82,100-m,100","88,100,100-m","88,100,100-m","89,100,100-m","89,101,100-m"
ALNINC_HF_5,6,"51-M,","51-M,","69-M,",,,,,7,7,7,9,9,11,"60-F,15",17,19,,,,,,,71,72,72,72,72,72,75,75,77,78,81,81,81,"81,100-m","81,100-m","81,100-m","81,100-m","82,100-m","82,100-m","88,100,100-m","88,101,100-m","88,100-m","88,100-m"
BETALL_SH_5,6,,,,,,,,,,,9,9,9,9,15,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100
BETPAP_HF_16A,6,,,,,7,7,7,9,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100
BETPOP_HF_5,6,,,,,,,,,7,7,9,9,11,15,19,19,,,,,,,,,,,75(just one),75,,,,,,,,,,,,100,100,100,100,"100, 100-m","100,100-m"
ACEPEN_HF_12,6,,,rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL_SH_2,6,,,,,,,,,,,9,11,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100
ALNINC_HF_9,6,,,,,,,,,,,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,"100-m,100","101,100-m"
AMECAN_SH_2,6,,,,,,,7,7,7,7,9,9,11,15,17,17,19,,,,,,,,,,,,,,,100,100,100,101,101,,,,,,,,,
BETPOP_WM_7,6,,,,,,,,,,7,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100
BETPAP_HF_16B,6,,,,,,,,7,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100
AMECAN_GR_10,6,,,,,,,7,7,9,9,11,11,"51,11","51,15","62,19","67,19",69,71,,75,75,77,78,78,79,79,79,79,,,,100,100,100,100,100,100,100,100,101,,,,,
ACEPEN_WM_5,6,,,,rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_GR_2,7,",7",",7","51,9","51,9",dmg!,"51,11,DMG","51,11,D","51,11,D",D,"51,15-D","51,15-D","55,15",55,"55,19","57,19","64,19",67,67,69,72,75,75,78,78,79,79,82,89,89,89,,,,,"51,100","51,100","51,100","60,100","67,100","75,100","65,75,10","75,100","77,100","78,101",81
ACESPI_GR_8,7,,,,,,,,,,,,,,,,15,,15,17,17,17,17,17,17,,,,,,,,,,,100,100,,,,,,,,,
